iter	Passed	Remaining
836	1230	239
837	1231	238
838	1232	236
839	1234	235
840	1235	233
841	1236	232
842	1238	230
843	1239	229
844	1240	227
845	1241	226
846	1243	224
847	1244	223
848	1245	221
849	1247	220
850	1248	218
851	1249	217
852	1250	215
853	1252	214
854	1253	212
855	1254	211
856	1255	209
857	1257	208
858	1258	206
859	1259	205
860	1260	203
861	1262	202
862	1263	200
863	1264	199
864	1265	197
865	1267	196
866	1268	194
867	1269	193
868	1270	191
869	1272	190
870	1273	188
871	1274	187
872	1275	185
873	1277	184
874	1278	182
875	1279	181
876	1280	179
877	1282	178
878	1283	176
879	1284	175
880	1286	173
881	1287	172
882	1288	170
883	1289	169
884	1291	167
885	1292	166
886	1293	164
887	1294	163
888	1296	161
889	1297	160
890	1298	158
891	1299	157
892	1301	155
893	1302	154
894	1303	152
895	1304	151
896	1306	149
897	1307	148
898	1308	147
899	1309	145
900	1311	144
901	1312	142
902	1313	141
903	1314	139
904	1316	138
905	1317	136
906	1318	135
907	1320	133
908	1321	132
909	1322	130
910	1323	129
911	1325	127
912	1326	126
913	1327	124
914	1328	123
915	1329	121
916	1331	120
917	1332	119
918	1333	117
919	1334	116
920	1336	114
921	1337	113
922	1338	111
923	1340	110
924	1341	108
925	1342	107
926	1343	105
927	1345	104
928	1346	102
929	1347	101
930	1348	99
931	1350	98
932	1351	97
933	1352	95
934	1353	94
935	1354	92
936	1356	91
937	1357	89
938	1358	88
939	1359	86
940	1361	85
941	1362	83
942	1363	82
943	1365	80
944	1366	79
945	1367	78
946	1368	76
947	1370	75
948	1371	73
949	1372	72
950	1373	70
951	1375	69
952	1376	67
953	1377	66
954	1378	64
955	1380	63
956	1381	62
957	1382	60
958	1384	59
959	1385	57
960	1386	56
961	1387	54
962	1389	53
963	1390	51
964	1391	50
965	1392	49
966	1394	47
967	1395	46
968	1396	44
969	1397	43
970	1399	41
971	1400	40
972	1401	38
973	1402	37
974	1404	36
975	1405	34
976	1406	33
977	1407	31
978	1408	30
979	1409	28
980	1411	27
981	1412	25
982	1413	24
983	1414	23
984	1416	21
985	1417	20
986	1418	18
987	1420	17
988	1421	15
989	1422	14
990	1423	12
991	1425	11
992	1426	10
993	1427	8
994	1428	7
995	1430	5
996	1431	4
997	1432	2
998	1434	1
999	1435	0
